model,total_files,average_wer,median_wer,min_wer,max_wer,total_time_seconds,avg_time_per_file
finetune-base,92,0.0496697690599693,0.038461538461538464,0.0,0.20833333333333334,37.51755952835083,0.4077995600907699
finetune-large,92,0.029743721464484365,0.0,0.0,0.18181818181818182,91.1969347000122,0.9912710293479587
finetune-medium,92,0.02930689205541339,0.0,0.0,0.19047619047619047,135.42890310287476,1.4720532945964648
finetune-small,92,0.034123480458958313,0.0,0.0,0.19230769230769232,75.62167763710022,0.8219747569250024
finetune-tiny,92,0.06554381090950141,0.045454545454545456,0.0,0.3333333333333333,22.74738121032715,0.24725414359051248
original-base,92,0.0648757033746642,0.041666666666666664,0.0,1.0,37.67183041572571,0.40947641756223596
original-large,92,0.027351444379390646,0.0,0.0,0.15789473684210525,92.36350965499878,1.0039511919021606
original-medium,92,0.026787665520841587,0.0,0.0,0.14285714285714285,99.69229221343994,1.0836118718852168
original-small,92,0.039197869418035367,0.0,0.0,0.19047619047619047,47.63182997703552,0.5177372823590818
original-tiny,92,0.07760581784175201,0.047619047619047616,0.0,0.2631578947368421,25.317487955093384,0.27519008646840637
